,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
32,0.03025,0.035109999999999995,0.06144,0.14848714285714285,0.16803,0.1800733333333333,0.18168250000000002,0.17438391304347825,0.171076,0.17798600000000003,0.193238947368421,0.20696297297297295
33,0.0302325,0.03437692307692307,0.05707857142857142,0.1397042857142857,0.15902000000000002,0.17004666666666668,0.17131000000000002,0.16418739130434784,0.16107200000000002,0.16708000000000003,0.1805531578947368,0.19555972972972976
34,0.0332475,0.037531538461538456,0.06316857142857144,0.16000142857142857,0.18052,0.19205666666666668,0.19188,0.18246782608695652,0.178054,0.18497999999999998,0.20178842105263153,0.21339567567567566
35,0.0322275,0.03637692307692307,0.06185285714285715,0.15570142857142857,0.17551999999999998,0.18705333333333332,0.18741249999999998,0.17866260869565212,0.17458,0.18097400000000002,0.19678842105263158,0.2102078378378378
36,0.044672500000000004,0.053646923076923064,0.08900142857142856,0.13578285714285715,0.15095666666666666,0.16488,0.17517499999999997,0.17758999999999997,0.177998,0.18049800000000002,0.1872363157894736,0.1829056756756757
37,0.050675,0.06118076923076923,0.10441857142857143,0.16299,0.18048999999999996,0.19488333333333338,0.20427249999999997,0.2029430434782609,0.201498,0.19897400000000004,0.19389631578947367,0.18831216216216215
38,0.05424,0.06603461538461539,0.11605999999999998,0.18220428571428568,0.20046,0.21586666666666665,0.224805,0.2211626086956522,0.21850999999999998,0.21405599999999997,0.20279000000000003,0.19642027027027023
39,0.0632075,0.07862076923076922,0.15124714285714289,0.2376914285714286,0.25099333333333335,0.26105666666666666,0.261425,0.24639521739130435,0.23897399999999996,0.227468,0.20444789473684213,0.1929162162162162
40,0.0445175,0.05247923076923078,0.07363857142857144,0.1122,0.13351000000000002,0.154,0.17861500000000002,0.20711304347826096,0.21899799999999997,0.25400999999999996,0.42961368421052626,0.35620702702702706
41,0.047102500000000005,0.053169230769230774,0.07300142857142858,0.1072,0.12651,0.14499666666666666,0.16814999999999997,0.19726826086956525,0.20947999999999997,0.248906,0.4587815789473685,0.3655597297297297
42,0.0533225,0.06265384615384616,0.09634571428571427,0.15850428571428574,0.18797333333333333,0.21699000000000002,0.24841,0.27688173913043473,0.28791399999999995,0.319034,0.47744000000000003,0.361742972972973
43,0.0534425,0.06334076923076923,0.10170571428571429,0.17518285714285714,0.21096666666666666,0.24488,0.27934,0.30202347826086956,0.30991399999999997,0.331406,0.4676489473684211,0.3442175675675675
44,0.0649475,0.07913538461538461,0.13999142857142857,0.2564814285714286,0.295,0.32894333333333337,0.3537199999999999,0.35842478260869554,0.358454,0.374996,0.5169884210526315,0.38065621621621626
45,0.0618925,0.07844846153846154,0.15850714285714287,0.3356942857142857,0.3720366666666666,0.40110333333333337,0.41035,0.3939900000000001,0.38563800000000004,0.39558,0.5075205263157895,0.37134729729729726
46,0.0967175,0.12122846153846153,0.20848,0.4463985714285714,0.49752,0.5317833333333334,0.5240825,0.4950369565217391,0.483208,0.5151519999999999,0.7087373684210526,0.5140864864864865
47,0.09668750000000001,0.10923538461538461,0.14158857142857142,0.18820857142857145,0.21302333333333334,0.23285999999999998,0.2539125,0.2743126086956521,0.28250200000000003,0.304998,0.4370052631578948,0.4276743243243244
48,0.10614499999999999,0.12393000000000001,0.17855285714285715,0.24749142857142856,0.2829933333333334,0.31089666666666665,0.3340175,0.3479482608695652,0.352516,0.361496,0.4594231578947369,0.39584972972972965
49,0.137375,0.16375307692307692,0.26010285714285714,0.3564885714285714,0.3979866666666667,0.43005333333333334,0.454685,0.46017043478260883,0.46051000000000003,0.456168,0.5449563157894737,0.4420708108108108
